x,y,z,samples
7.53,-1.922,19.373,1032504
7.392,-1.781,19.265,1032505
7.651,-2.265,19.431,1032506
1.347,9.873,9.723,1032507
1.594,9.361,9.979,1032508
1.3,9.851,9.668,1032509
1.214,9.975,9.591,1032510
1.594,9.425,9.95,1032511
7.515,-1.874,19.377,1032512
1.343,9.95,9.696,1032513
7.51,-1.897,19.338,1032514
7.533,-1.947,19.368,1032515
7.614,-2.06,19.387,1032516
7.526,-1.991,19.376,1032517
7.648,-2.352,19.439,1032518
0.792,10.499,9.606,1032519
7.618,-2.088,19.398,1032520
7.622,-2.112,19.424,1032521
7.665,-2.192,19.39,1032522
7.594,-2.107,19.418,1032523
7.615,-2.289,19.432,1032524
1.597,9.44,9.947,1032525
1.606,9.341,9.982,1032526
1.232,9.947,9.612,1032527
1.126,10.096,9.568,1032528
1.586,9.499,9.918,1032529
0.765,10.552,9.62,1032530
1.723,9.344,9.994,1032531
1.203,10.045,9.61,1032532
1.005,10.226,9.585,1032533
1.611,9.484,9.924,1032534
0.754,10.527,9.603,1032535
1.523,9.685,9.832,1032536
-1.597,11.749,9.742,1032537
-1.804,11.897,9.772,1032538
1.626,9.442,9.946,1032539
1.541,9.552,9.881,1032540
1.612,9.361,9.978,1032541
1.224,9.989,9.613,1032542
1.105,10.142,9.571,1032543
1.589,9.504,9.913,1032544
-1.893,11.916,9.667,1032545
-1.845,11.915,9.724,1032546
-1.899,11.912,9.684,1032547
5.492,5.101,11.243,1032773
5.5,5.075,11.257,1032774
5.495,5.106,11.238,1032775
5.502,4.888,11.361,1032776
5.502,4.895,11.356,1032777
5.508,4.958,11.326,1032778
5.502,4.888,11.36,1032779
5.503,4.894,11.357,1032780
5.389,5.776,10.818,1032781
5.392,5.769,10.822,1032782
5.389,5.752,10.821,1032783
5.395,5.735,10.834,1032784
5.504,4.906,11.351,1032785
5.499,4.862,11.373,1032786
5.505,5.044,11.278,1032787
5.507,4.95,11.331,1032788
5.503,4.887,11.361,1032789
5.508,4.935,11.339,1032790
5.51,4.994,11.307,1032791
5.343,5.72,10.848,1032792
5.393,5.757,10.821,1032794
5.39,5.749,10.822,1032796
5.383,5.771,10.819,1032798
5.397,5.763,10.82,1032800
9.134,-5.434,20.534,1033649
9.112,-5.256,20.537,1033650
9.134,-5.285,20.617,1033651
-17.669,3.168,-9.712,1034569
-17.665,3.165,-9.712,1034570
-4.268,-0.976,16.024,1036131
-4.184,-1.087,16.088,1036132
15.921,-1.632,15.358,1036480
15.929,-1.624,15.359,1036481
15.972,-1.65,15.44,1036482
1.01,1.074,2.991,1036483
1.032,1.051,3.031,1036484
